store_id,store_name,store_size,zipcode,coaststore,trafficstore,PLAATS,GEMEENTE,PROVINCIE,regio,STN
139,Gorinchem,C ,4201,0,0,Gorinchem,Gorinchem,Zuid-Holland,middle,356
314,Den Haag - Fahrenheitstraat,A ,2561,0,0,Den Haag,s Gravenhage,Zuid-Holland,middle,210
272,Dieren,A ,6951,0,0,Dieren,Rheden,Gelderland,south,275
289,Lemmer,A ,8531,0,0,Lemmer,Lemsterland,Friesland,north,270
193,Rijssen,B ,7462,0,0,Rijssen,Rijssen Holten,Overijssel,north,290
194,Heerhugowaard,B ,1703,0,0,Heerhugowaard,Heerhugowaard,Noord-Holland,north,240
266,Utrecht-Kanaleneiland,A ,3527,0,0,Utrecht,Utrecht,Utrecht,middle,260
284,Hendrik Ido Ambacht,A ,3341,0,0,Hendrik Ido Ambacht,Hendrik Ido Ambacht,Zuid-Holland,middle,344
66,Delft,C ,2611,0,0,Delft,Delft,Zuid-Holland,middle,344
392,Julianadorp,AA,1787,1,0,Den Helder,Den Helder,Noord-Holland,north,235
218,Deurne,B ,5751,0,0,Deurne,Deurne,Noord-Brabant,south,375
294,Barendrecht - Carnisse veste,A ,2993,0,0,Barendrecht,Barendrecht,Zuid-Holland,middle,344
300,Raamsdonksveer,A ,4941,0,0,Raamsdonksveer,Geertruidenberg,Noord-Brabant,south,350
48,Doetinchem,B ,7001,0,0,Doetinchem,Doetinchem,Gelderland,middle,283
287,Aalsmeer,A ,1431,0,0,Aalsmeer,Aalsmeer,Noord-Holland,north,240
368,Den Bosch Helftheuvel,AA,5224,0,0,Den Bosch,s Hertogenbosch,Noord-Brabant,south,375
225,Echt,B ,6101,0,0,Echt,Echt Susteren,Limburg,south,377
142,Zaltbommel,B ,5301,0,0,Zaltbommel,Zaltbommel,Gelderland,south,356
286,IJsselstein,A ,3401,0,0,IJsselstein (UT),IJsselstein,Utrecht,middle,348
83,Almere-Stad,D ,1315,0,0,Almere,Almere,Flevoland,north,269
164,Rhenen,B ,3911,0,0,Rhenen,Rhenen,Utrecht,middle,260
342,Oosterbeek,A ,6862,0,0,Oosterbeek,Renkum,Gelderland,south,275
146,Nieuw Vennep,B ,2151,0,0,Nieuw Vennep,Haarlemmermeer,Noord-Holland,north,240
497,B.E. Kalverstraat Amsterdam,AA,1012,0,0,Amsterdam,Amsterdam,Noord-Holland,north,240
265,Capelle a/d IJssel,A ,2903,0,0,Capelle aan den IJssel,Capelle aan den IJssel,Zuid-Holland,middle,344
72,Arnhem-Kronenburg,B ,6831,0,0,Arnhem,Arnhem,Gelderland,south,356
144,Veghel,B ,5461,0,0,Veghel,Veghel,Noord-Brabant,south,375
695,Eindhoven Tongelresestraat,AA,5613,0,0,Eindhoven,Eindhoven,Noord-Brabant,south,370
329,Sluis,A ,4524,0,0,Sluis,Sluis,Zeeland,south,319
254,Ulft,A ,7071,0,0,Ulft,Oude IJsselstreek,Gelderland,middle,283
671,Dinxperlo,A ,7091,0,0,Dinxperlo,Aalten,Gelderland,middle,283
110,Zutphen,B ,7201,0,0,Zutphen,Zutphen,Gelderland,middle,283
84,Nijkerk,B ,3861,0,0,Nijkerk,Nijkerk,Gelderland,middle,260
167,Harderwijk,B ,3841,0,0,Harderwijk,Harderwijk,Gelderland,middle,260
298,Heerlen,A ,6411,0,0,Heerlen,Heerlen,Limburg,south,380
